DI1,2024-08-23T13:38:38+02:00,Votre colis est livré dans votre boite aux lettres.
MD2,2024-08-23T10:22:14+02:00,Votre colis est dans le site de livraison qui dessert votre adresse. Nous le préparons pour le mettre en livraison.
ET1,2024-08-23T10:20:24+02:00,Votre Colissimo est en cours de traitement sur le site de tri local.
ET1,2024-08-22T21:26:44+02:00,Votre colis est en transit sur nos plateformes logistiques.
DR1,2024-08-22T09:37:40+02:00,Votre Colissimo va bientôt nous être confié ! Il est en cours de préparation chez votre expéditeur.
